;Convocatoria;Evento;Tema;Evaluacion;Seccion;Pregunta;Tipo_Pregunta;Alternativa;Tema_Articulo;Evaluacion_Tema_Articulo;Respuestas;Articulo;Autor_Articulo;Evaluador_Articulo;Rol_Usuario;Rol;Usuario;Grupo_Investigacion;Conferencista_Evento;Conferencista_Evento_Articulo;Tipo_Empresa;Empresa;Empresa_Usuario;Auspicio;Faq;Pregunta_Faq;Respuesta_Faq;Tipo_Evento;Material;Tipo_Material;Fecha_Evento;Actividad;Categoria_Evento;Categoria;Subcategoria;Subcategoria_Evento;Registro;Subevento_Evento;Organizador;Cargo;Pais;Ciudad;Menu;Opcion_Menu;Menu_Evento;Submenu;Titulo;Tipo_Empresa_Cargo;Material_Registro
end_Evaluacion_Tema_Articulo;A/M, A/M;A/M, A/M, A/M;A/M;A/M;;;;;A/M;O/E;;A/M;;A/M;A/M;A/M;A/M;;;;;;;;;;;A/M, A/M, A/M;;;;;;;;;;;;;A/M;A/M;;;;;;;;
cr_Respuestas;A/M, A/M;A/M, A/M, A/M;A/M;A/M;;;;;A/M;A/M;O/C;A/M;;A/M;A/M;A/M;A/M;;;;;;;;;;;A/M, A/M, A/M;;;;;;;;;;;;;A/M;A/M;;;;;;;;
end_Respuestas;A/M, A/M;A/M, A/M, A/M;A/M;A/M;;;;;A/M;A/M;O/E;A/M;;A/M;A/M;A/M;A/M;;;;;;;;;;;A/M, A/M, A/M;;;;;;;;;;;;;A/M;A/M;;;;;;;;
cr_Articulo;;A/M;;;;;;;;;;O/C;;;;;;;;;;;;;;;;A/M;;;;;;;;;;;;;;;;;;;;;;
end_Articulo;;A/M;;;;;;;;;;O/E;;;;;;;;;;;;;;;;A/M;;;;;;;;;;;;;;;;;;;;;;
cr_Autor_Articulo;;A/M;;;;;;;;;;A/M;O/C;;A/M;A/M;A/M;;;;;;;;;;;A/M;;;;;;;;;;;;;A/M;A/M;;;;;;;;
end_Autor_Articulo;;A/M;;;;;;;;;;A/M;O/E;;A/M;A/M;A/M;;;;;;;;;;;A/M;;;;;;;;;;;;;A/M;A/M;;;;;;;;
cr_Evaluador_Articulo;;;;;;;;;;;;;;O/C;A/M;A/M;A/M;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;;;;
end_Evaluador_Articulo;;;;;;;;;;;;;;O/E;A/M;A/M;A/M;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;;;;
cr_Rol_Usuario;;;;;;;;;;;;;;;O/C;A/M;A/M;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;;;;
end_Rol_Usuario;;;;;;;;;;;;;;;O/E;A/M;A/M;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;;;;
cr_Rol;;;;;;;;;;;;;;;;O/C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
end_Rol;;;;;;;;;;;;;;;;O/E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cr_Usuario;;;;;;;;;;;;;;;;;O/C;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;;;;
end_Usuario;;;;;;;;;;;;;;;;;O/E;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;;;;
cr_Grupo_Investigacion;;;;;;;;;;;;;;;;;;O/C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
end_Grupo_Investigacion;;;;;;;;;;;;;;;;;;O/E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cr_Conferencista_Evento;;A/M;;;;;;;;;;;;;A/M;A/M;A/M;;O/C;;;;;;;;;A/M;;;;;;;;;;;;;A/M;A/M;;;;;;;;
end_Conferencista_Evento;;A/M;;;;;;;;;;;;;A/M;A/M;A/M;;O/E;;;;;;;;;A/M;;;;;;;;;;;;;A/M;A/M;;;;;;;;
cr_Conferencista_Evento_Articulo;;A/M, A/M;;;;;;;;;;A/M;;;A/M;A/M;A/M;;A/M;O/C;;;;;;;;A/M, A/M;;;;;;;;;;;;;A/M;A/M;;;;;;;;
end_Conferencista_Evento_Articulo;;A/M, A/M;;;;;;;;;;A/M;;;A/M;A/M;A/M;;A/M;O/E;;;;;;;;A/M, A/M;;;;;;;;;;;;;A/M;A/M;;;;;;;;
cr_Tipo_Empresa;;;;;;;;;;;;;;;;;;;;;O/C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
end_Tipo_Empresa;;;;;;;;;;;;;;;;;;;;;O/E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cr_Empresa;;;;;;;;;;;;;;;;;;;;;A/M;O/C;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;;;;
end_Empresa;;;;;;;;;;;;;;;;;;;;;A/M;O/E;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;;;;
cr_Empresa_Usuario;;;;;;;;;;;;;;;;;A/M;;;;A/M;A/M;O/C;;;;;;;;;;;;;;;;;A/M;A/M, A/M;A/M, A/M;;;;;;;;
end_Empresa_Usuario;;;;;;;;;;;;;;;;;A/M;;;;A/M;A/M;O/E;;;;;;;;;;;;;;;;;A/M;A/M, A/M;A/M, A/M;;;;;;;;
cr_Auspicio;;A/M;;;;;;;;;;;;;;;;;;;A/M;A/M;;O/C;;;;A/M;;;;;;;;;;;;;A/M;A/M;;;;;;;;
end_Auspicio;;A/M;;;;;;;;;;;;;;;;;;;A/M;A/M;;O/E;;;;A/M;;;;;;;;;;;;;A/M;A/M;;;;;;;;
cr_Faq;;A/M;;;;;;;;;;;;;;;;;;;;;;;O/C;;;A/M;;;;;;;;;;;;;;;;;;;;;;
end_Faq;;A/M;;;;;;;;;;;;;;;;;;;;;;;O/E;;;A/M;;;;;;;;;;;;;;;;;;;;;;
cr_Pregunta_Faq;;A/M;;;;;;;;;;;;;;;;;;;;;;;A/M;O/C;;A/M;;;;;;;;;;;;;;;;;;;;;;
end_Pregunta_Faq;;A/M;;;;;;;;;;;;;;;;;;;;;;;A/M;O/E;;A/M;;;;;;;;;;;;;;;;;;;;;;
cr_Respuesta_Faq;;A/M;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;O/C;A/M;;;;;;;;;;;;;;;;;;;;;;
end_Respuesta_Faq;;A/M;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;O/E;A/M;;;;;;;;;;;;;;;;;;;;;;
cr_Tipo_Evento;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/C;;;;;;;;;;;;;;;;;;;;;;
end_Tipo_Evento;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/E;;;;;;;;;;;;;;;;;;;;;;
cr_Material;;A/M;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;O/C;A/M;;;;;;;;;;;;;;;;;;;;
end_Material;;A/M;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;O/E;A/M;;;;;;;;;;;;;;;;;;;;
cr_Tipo_Material;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/C;;;;;;;;;;;;;;;;;;;;
end_Tipo_Material;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/E;;;;;;;;;;;;;;;;;;;;
cr_Fecha_Evento;;A/M;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;;;O/C;;;;;;;;;;;;;;;;;;;
end_Fecha_Evento;;A/M;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;;;O/E;;;;;;;;;;;;;;;;;;;
cr_Actividad;;A/M;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;;;A/M;O/C;;;;;;;;;;;;;;;;;;
end_Actividad;;A/M;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;;;A/M;O/E;;;;;;;;;;;;;;;;;;
cr_Categoria_Evento;;A/M;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;;;;;O/C;A/M;;;;;;;;;;;;;;;;
end_Categoria_Evento;;A/M;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;;;;;O/E;A/M;;;;;;;;;;;;;;;;
cr_Categoria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/C;;;;;;;;;;;;;;;;
end_Categoria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/E;;;;;;;;;;;;;;;;
cr_Subcategoria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;O/C;;;;;;;;;;;;;;;
end_Subcategoria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;O/E;;;;;;;;;;;;;;;
cr_Subcategoria_Evento;;A/M;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;;;;;;A/M;A/M;O/C;;;;;;;;;;;;;;
end_Subcategoria_Evento;;A/M;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;;;;;;A/M;A/M;O/E;;;;;;;;;;;;;;
cr_Registro;;A/M, A/M, A/M;;;;;;;;;;;;;A/M;A/M;A/M, A/M;;;;;;;;;;;A/M, A/M, A/M;;;;;A/M;A/M, A/M;A/M;A/M;O/C;;;;A/M, A/M;A/M, A/M;;;;;;;;
end_Registro;;A/M, A/M, A/M;;;;;;;;;;;;;A/M;A/M;A/M, A/M;;;;;;;;;;;A/M, A/M, A/M;;;;;A/M;A/M, A/M;A/M;A/M;O/E;;;;A/M, A/M;A/M, A/M;;;;;;;;
cr_Subevento_Evento;;A/M, A/M;;;;;;;;;;;;;;;;;;;;;;;;;;A/M, A/M;;;;;;;;;;O/C;;;;;;;;;;;;
end_Subevento_Evento;;A/M, A/M;;;;;;;;;;;;;;;;;;;;;;;;;;A/M, A/M;;;;;;;;;;O/E;;;;;;;;;;;;
cr_Organizador;;A/M;;;;;;;;;;;;;;;;A/M;;;;;;;;;;A/M;;;;;;;;;;;O/C;;;;;;;;;;;
end_Organizador;;A/M;;;;;;;;;;;;;;;;A/M;;;;;;;;;;A/M;;;;;;;;;;;O/E;;;;;;;;;;;
cr_Cargo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/C;;;;;;;;;;
end_Cargo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/E;;;;;;;;;;
cr_Pais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/C;;;;;;;;;
end_Pais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/E;;;;;;;;;
cr_Ciudad;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;O/C;;;;;;;;
end_Ciudad;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;O/E;;;;;;;;
cr_Menu;;;;;;;;;;;;;;;A/M;A/M;A/M;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;O/C;A/M;;;;;;
end_Menu;;;;;;;;;;;;;;;A/M;A/M;A/M;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;O/E;A/M;;;;;;
cr_Opcion_Menu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/C;;;;;;
end_Opcion_Menu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/E;;;;;;
cr_Menu_Evento;;A/M;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;;;;;;;;;;;;;;;;A/M;O/C;;;;;
end_Menu_Evento;;A/M;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;;;;;;;;;;;;;;;;A/M;O/E;;;;;
cr_Submenu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M, A/M;;O/C;;;;
end_Submenu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M, A/M;;O/E;;;;
cr_Titulo;;;;;;;;;;;;;;;;;A/M;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;O/C;;;
end_Titulo;;;;;;;;;;;;;;;;;A/M;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;O/E;;;
cr_Tipo_Empresa_Cargo;;;;;;;;;;;;;;;;;;;;;A/M;;;;;;;;;;;;;;;;;;;A/M;;;;;;;;O/C;;
end_Tipo_Empresa_Cargo;;;;;;;;;;;;;;;;;;;;;A/M;;;;;;;;;;;;;;;;;;;A/M;;;;;;;;O/E;;
cr_Material_Registro;;A/M, A/M, A/M, A/M;;;;;;;;;;;;;A/M;A/M;A/M, A/M;;;;;;;;;;;A/M, A/M, A/M, A/M;A/M;A/M;;;A/M;A/M, A/M;A/M;A/M;A/M;;;;A/M, A/M;A/M, A/M;;;;;;;O/C;
end_Material_Registro;;A/M, A/M, A/M, A/M;;;;;;;;;;;;;A/M;A/M;A/M, A/M;;;;;;;;;;;A/M, A/M, A/M, A/M;A/M;A/M;;;A/M;A/M, A/M;A/M;A/M;A/M;;;;A/M, A/M;A/M, A/M;;;;;;;O/E;
